workbook_name,model_name,model_params,utility,accuracy,logit_roc_auc,true_pos,true_neg,false_pos,false_neg,timestamp
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=2, max_feature=log2",17.9374994,0.513534109,0.504174278,13699,645.6,13034.6,553.9,8/4/2021 21:48
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=4, max_feature=None",148.632794,0.530155956,0.52796172,9056.8,5752.1,7928.1,5196.1,8/4/2021 22:12
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=4, max_feature=sqrt",70.96093828,0.525143989,0.519600127,11274.5,3394.4,10285.8,2978.4,8/4/2021 22:14
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=4, max_feature=log2",63.28868968,0.522809858,0.516191802,12011.7,2592,11088.2,2241.2,8/4/2021 22:16
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=8, max_feature=None",341.7139978,0.542635773,0.540845137,8959.2,6198.3,7481.9,5293.7,9/4/2021 9:37
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=8, max_feature=sqrt",248.5622593,0.537813556,0.534590667,9872.5,5150.3,8529.9,4380.4,9/4/2021 9:40
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=8, max_feature=log2",170.476814,0.534953138,0.530853909,10412.4,4530.5,9149.7,3840.5,9/4/2021 9:43
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=16, max_feature=None",487.1362573,0.550296949,0.549300039,8522.9,6848.6,6831.6,5730,9/4/2021 10:38
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=16, max_feature=sqrt",416.4753251,0.544884016,0.543510083,8718.4,6501.9,7178.3,5534.5,9/4/2021 10:44
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=10, max_depth=16, max_feature=log2",338.1891438,0.541565366,0.540186855,8678.9,6448.7,7231.5,5574,9/4/2021 10:48
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=30, max_depth=2, max_feature=None",21.21949989,0.51863558,0.511007141,12605.7,1881.4,11798.8,1647.2,9/4/2021 11:16
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=30, max_depth=2, max_feature=sqrt",34.78933965,0.514654629,0.505664292,13529.7,846.2,12834,723.2,9/4/2021 11:19
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=30, max_depth=2, max_feature=log2",22.21440517,0.512825262,0.503102501,13969.2,355.6,13324.6,283.7,9/4/2021 11:21
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=30, max_depth=4, max_feature=None",165.5046996,0.53053185,0.52831287,9096.5,5722.9,7957.3,5156.4,9/4/2021 12:13
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=30, max_depth=4, max_feature=sqrt",108.4946933,0.526719181,0.520707545,11640.7,3072.2,10608,2612.2,9/4/2021 12:19
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=90, n_estimators=30, max_depth=4, max_feature=log2",76.59257598,0.523758533,0.516641704,12335.4,2294.8,11385.4,1917.5,9/4/2021 12:23
